Gunung;M1;M2;M3;M4;M5;M6;Min;Best Method;Max;Worst Method;Average
Agung;0.46;0.31;0.31;0.42;0.18;0.29;0.18;Metode 5;0.46;Metode 1;0.33
Ambang;0.64;0.45;0.79;0.25;0.35;0.33;0.25;Metode 4;0.79;Metode 3;0.47
Anak Krakatau;0.17;0.4;0.27;0.2;0.73;0.26;0.17;Metode 1;0.73;Metode 5;0.34
Anak Ranakah;1.1;0.29;0.45;0.46;0.15;0.29;0.15;Metode 5;1.1;Metode 1;0.46
Arjuno Welirang;2.39;3.48;2.39;2.47;2.21;2.07;2.07;Metode 6;3.48;Metode 2;2.5
Awu;0.28;0.36;0.41;0.27;0.29;0.26;0.26;Metode 6;0.41;Metode 3;0.31
Banda Api;0.37;1.03;0.09;0.08;0.11;0.04;0.04;Metode 6;1.03;Metode 2;0.29
Batur;0.91;0.73;1.24;1.09;0.98;1.04;0.73;Metode 2;1.24;Metode 3;1
Batutara;0.21;0.68;0.39;0.18;0.16;0.19;0.16;Metode 5;0.68;Metode 2;0.3
Bromo;0.2;0.53;0.8;0.75;0.77;0.42;0.2;Metode 1;0.8;Metode 3;0.58
Bur Ni Telong;0.14;0.16;0.16;0.26;0.08;0.36;0.08;Metode 5;0.36;Metode 6;0.19
Ciremai;2.6;6.18;1.18;1.24;0.36;0.44;0.36;Metode 5;6.18;Metode 2;2
Colo;0.26;2.08;0.37;0.21;0.08;0.09;0.08;Metode 5;2.08;Metode 2;0.52
Dempo;1.1;0.21;0.21;0.44;0.1;0.24;0.1;Metode 5;1.1;Metode 1;0.38
Dieng;3.81;4.02;4.31;2.85;5.67;5.87;2.85;Metode 4;5.87;Metode 6;4.42
Dukono;0.04;0.03;0.03;1.41;0.24;0.14;0.03;Metode 2;1.41;Metode 4;0.32
Ebulobo;0.14;0.14;0.14;0.03;0.04;0.21;0.03;Metode 4;0.21;Metode 6;0.12
Egon;0.19;0.19;0.57;0.44;0.17;0.15;0.15;Metode 6;0.57;Metode 3;0.28
Galunggung;1.83;0.71;2.96;1.89;3.14;3.11;0.71;Metode 2;3.14;Metode 5;2.27
Gamalama;0.33;0.33;0.21;0.51;0.31;0.33;0.21;Metode 3;0.51;Metode 4;0.34
Gamkonora;0.56;0.57;0.49;0.71;0.58;0.68;0.49;Metode 3;0.71;Metode 4;0.6
Gede;3.67;6.27;2.58;2.38;0.26;0.15;0.15;Metode 6;6.27;Metode 2;2.55
Guntur;1.02;1;2.28;2.14;2.34;2.47;1;Metode 2;2.47;Metode 6;1.88
Ibu;0.1;0.1;0.1;0.49;0.37;0.25;0.1;Metode 1;0.49;Metode 4;0.24
Ijen;1.91;2.94;1.24;0.74;1.45;1.64;0.74;Metode 4;2.94;Metode 2;1.65
Ile Werung;0.67;0.88;0.5;0.78;0.18;0.16;0.16;Metode 6;0.88;Metode 2;0.53
Ili Boleng;1.04;0.15;0.7;0.44;0.26;0.37;0.15;Metode 2;1.04;Metode 1;0.49
Ili Lewotolok;0.62;0.11;0.11;0.55;0.1;0.1;0.1;Metode 5;0.62;Metode 1;0.27
Inielika;1.07;3.61;0.67;1.08;1.07;0.91;0.67;Metode 3;3.61;Metode 2;1.4
Inierie;0.42;0.55;0.5;0.1;0.25;0.45;0.1;Metode 4;0.55;Metode 2;0.38
Iya;0.65;0.84;0.62;0.58;0.24;0.38;0.24;Metode 5;0.84;Metode 2;0.55
Kaba;1.65;0.44;1.05;1.27;0.53;0.42;0.42;Metode 6;1.65;Metode 1;0.89
Karangetang;0.5;0.52;0.86;0.4;0.19;0.89;0.19;Metode 5;0.89;Metode 6;0.56
Kelimutu;1.32;0.15;0.46;2.11;0.16;0.26;0.15;Metode 2;2.11;Metode 4;0.74
Kelud;0.54;1.12;1.19;0.92;0.62;0.59;0.54;Metode 1;1.19;Metode 3;0.83
Kerinci;0.25;0.24;1.08;0.52;0.37;0.35;0.24;Metode 2;1.08;Metode 3;0.47
Kie Besi;0.26;0.33;0.26;0.36;0.45;0.64;0.26;Metode 1;0.64;Metode 6;0.38
Lamongan;1.18;1.32;0.65;0.72;0.9;1.08;0.65;Metode 3;1.32;Metode 2;0.98
Lereboleng;0.12;0.84;0.51;1.75;0.9;1.08;0.12;Metode 1;1.75;Metode 4;0.87
Lewotobi Perempuan;0.5;0.46;0.75;0.54;0.16;0.33;0.16;Metode 5;0.75;Metode 3;0.46
Lokon;0.28;0.28;0.41;0.43;0.26;0.16;0.16;Metode 6;0.43;Metode 4;0.3
Mahawu;0.7;0.02;0.3;0.53;0.11;0.04;0.02;Metode 2;0.7;Metode 1;0.28
Marapi;0.02;1.09;1.01;0.77;0.51;0.51;0.02;Metode 1;1.09;Metode 2;0.65
Merapi;0.5;0.8;1.06;0.74;0.26;0.21;0.21;Metode 6;1.06;Metode 3;0.6
Papandayan;0.87;0.95;0.8;0.98;1.16;0.89;0.8;Metode 3;1.16;Metode 5;0.94
Peut Sague;0.73;3.24;0.41;1.2;0.93;0.66;0.41;Metode 3;3.24;Metode 2;1.2
Raung;0.68;0.65;0.65;0.23;0.65;0.41;0.23;Metode 4;0.68;Metode 1;0.55
Rinjani;2.61;0.63;5.47;1.56;1.85;1.59;0.63;Metode 2;5.47;Metode 3;2.28
Rokatenda;1;4.4;0.53;1.02;0.26;0.26;0.26;Metode 5;4.4;Metode 2;1.25
Ruang;0.36;0.51;0.36;0.5;0.27;0.64;0.27;Metode 5;0.64;Metode 6;0.44
Salak;0.69;1.98;0.79;0.82;0.75;1.09;0.69;Metode 1;1.98;Metode 2;1.02
Sangeangapi;0.79;0.99;1.03;0.43;0.42;0.42;0.42;Metode 5;1.03;Metode 3;0.68
Semeru;0.38;0.39;0.39;0.76;0.28;0.63;0.28;Metode 5;0.76;Metode 4;0.47
Seulawah Agam;1.03;0.15;0.58;0.76;0.16;2.02;0.15;Metode 2;2.02;Metode 6;0.78
Sinabung;2.13;2.26;1.09;0.11;0.57;1.02;0.11;Metode 4;2.26;Metode 2;1.2
Sirung;0.61;0.53;1.31;0.53;0.49;0.9;0.49;Metode 5;1.31;Metode 3;0.73
Slamet;0.7;0.21;0.21;0.67;0.22;0.2;0.2;Metode 6;0.7;Metode 1;0.37
Soputan;0.4;0.43;0.43;0.61;0.05;0.06;0.05;Metode 5;0.61;Metode 4;0.33
Sorikmarapi;0.26;0.12;0.92;0.86;0.13;0.14;0.12;Metode 2;0.92;Metode 3;0.4
Sumbing;0.62;0.33;0.33;0.62;0.33;0.46;0.33;Metode 2;0.62;Metode 1;0.45
Sundoro;0.87;0.26;0.26;0.22;0.34;0.47;0.22;Metode 4;0.87;Metode 1;0.4
Talang;0.26;0.23;0.84;1;0.34;0.3;0.23;Metode 2;1;Metode 4;0.49
Tambora;2.47;2.64;2.91;0.33;0.22;1.09;0.22;Metode 5;2.91;Metode 3;1.61
Tandikat;1.38;2.28;1.91;0.74;0.99;2.02;0.74;Metode 4;2.28;Metode 2;1.55
Tangkoko;0.32;0.43;0.09;0.56;0.09;0.08;0.08;Metode 6;0.56;Metode 4;0.26
Tangkuban Parahu;5.8;8.8;2.07;4.17;5.3;6.34;2.07;Metode 3;8.8;Metode 2;5.41
Wurlali;0.12;0.1;0.31;0.22;0.12;0.19;0.1;Metode 2;0.31;Metode 3;0.18
;;;;;;;;;;;
Average;0.92238806;1.185820896;0.900746269;0.826865672;0.665074627;0.778059701;;;;;
